                Ddegeya,,"2,533","2,438","4,971","1,085",27.8
                Kalanamu,,"2,809","2,748","5,557","1,360",30
                Kamira,,"2,008","2,089","4,097",701,32.8
                Kayindu,,"2,521","2,463","4,984","1,046",26.9
                Lunyoly a,,"2,670","2,630","5,300","1,203",34.3
                Vvumba,,"3,808","3,910","7,718","1,883",30.4
,,,,,,
Kamira Sub Cou nty,,"13,864","12,524","26,388","5,734",21.8
                Kabuny ata,,"1,668","1,355","3,023",674,19.4
                Kaswa,,"2,581","2,533","5,114","1,074",22.6
                Katagw e,,"2,519","2,205","4,724","1,007",18.6
                Kitender i,,"1,048",867,"1,915",435,17.9
                Mabuye,,"2,059","1,916","3,975",834,26.4
                Mazzi,,"2,020","1,867","3,887",821,23.4
                Nambe ere,,"1,969","1,781","3,750",889,22.4
,,,,,,
Kikyusa Sub Cou nty,,"17,570","17,169","34,739","7,885",25.9
                Kibengo,,"2,623","2,335","4,958","1,103",20.8
                Kireku,,"2,434","2,249","4,683","1,014",24.9
                Kiziba,,"6,035","6,367","12,402","2,959",26.9
                Kyampo gola,,"1,632","1,369","3,001",723,22.7
                Wabusa na,,"2,946","2,913","5,859","1,281",30.1
                Wankan ya,,"1,900","1,936","3,836",805,26.8
,,,,,,
Zirobwe Sub Co unty,,"22,621","22,371","44,992","10,257",27.5
                Bubuubi,,"1,924","1,649","3,573",761,21.6
                Bukimu,,"4,629","4,851","9,480","2,233",30.1
                Kabulan aka,,"1,888","1,948","3,836",893,31.4
                Kakakal a,,"3,120","3,143","6,263","1,370",27.5
                Kyetum e,,"3,124","3,228","6,352","1,494",26.2
                Nakigoz a,,"3,178","2,760","5,938","1,366",22.8
                Nambi,,"1,961","2,017","3,978",851,29.3
                Ngalonkalu,,"2,797","2,775","5,572","1,289",28.9
,,,,,,
,,"136,100","141,394","277,494","64,452",30.4
Bombo Town Co uncil,,"12,432","13,400","25,832","6,566",27.4
                Bombo Central,,977,"1,258","2,235",677,34
                Ganga ma,,851,873,"1,724",356,36.5
                Lomule,,"2,044","2,236","4,280","1,027",31
                Mpakaw ero,,"3,752","3,680","7,432","1,902",20.3
                Namalig a,,"3,127","3,455","6,582","1,728",27.4
                Nkokonj eru,,"1,681","1,898","3,579",876,29.5
,,,,,,
Butuntumula Su b County,,"17,871","17,443","35,314","7,484",29.4
                Bamugo lodde,,"3,524","3,506","7,030","1,509",32.1
                Bukamb agga,,"1,841","1,770","3,611",751,28.4
                Kakabal a,,"3,877","3,810","7,687","1,525",29.8
                Kakinzi,,"2,171","2,016","4,187",888,33
                Kalwan ga,,843,673,"1,516",336,15.2
                Kyawan gabi,,"2,630","2,464","5,094","1,115",25.4
                Ngogolo,,"2,985","3,204","6,189","1,360",31.3
,,,,,,
Katikamu Sub C ounty,,"21,243","22,203","43,446","9,753",31
                Bukeek a,,"1,888","1,973","3,861",796,30.5
                Buyuki,,"3,145","3,043","6,188","1,311",30.5
                Kikoma,,"2,280","2,377","4,657","1,053",31.6
                Kyalugo ndo,,"2,838","2,870","5,708","1,271",30.9
                Migadde,,"4,242","4,496","8,738","1,960",33.3
                Musaale,,"4,570","5,013","9,583","2,273",30
                Tweyan ze,,"2,280","2,431","4,711","1,089",29.2
,,,,,,
Luwero Town Co uncil,,"19,845","23,024","42,869","10,970",30.8
                Central,,926,"1,172","2,098",652,39.7
                Kavule,,"2,747","3,255","6,002","1,475",31.3
                Kiwogozi,,"5,171","6,026","11,197","2,996",30.4
                Luwero South East,,"3,896","4,584","8,480","2,147",32
                Luwero West,,"5,118","5,766","10,884","2,732",29.1
                Pwd,,"1,987","2,221","4,208",968,27
,,,,,,
Luwero Sub Cou nty,,"16,928","16,623","33,551","7,174",31
                Bwaziba,,"2,396","2,265","4,661",956,27.3
                Bweyey o,,"1,587","1,625","3,212",724,35.2
                Kabake di,,"2,507","2,393","4,900",964,32.3
                Kagugo,,"2,013","2,049","4,062",891,28.3
                Kasaala,,"1,722","1,740","3,462",743,35.7
                Katuugo,,"1,727","1,785","3,512",733,29.6
                Kigomb e,,"1,693","1,835","3,528",762,35.4
                Kikube,,"1,419","1,215","2,634",652,25.9
                Nakikoo ta,,"1,864","1,716","3,580",749,29.5
,,,,,,
Makulubita Sub County,,"16,780","16,117","32,897","7,706",30.6
                Kagogo,,"1,721","1,631","3,352",762,30.6
                Kalasa,,"1,547","1,479","3,026",726,35.5
                Kangav e,,"1,357","1,218","2,575",607,25.9
                Kanyan da,,"1,867","1,919","3,786",909,33.9
                Kasozi,,"2,041","1,917","3,958",979,28.6
                Makulu bita,,"2,287","2,157","4,444","1,021",28.9
                Mawale,,"2,103","2,076","4,179","1,004",33.4
                Nsanvu,,"1,769","1,714","3,483",788,29.2
                Walulee ta,,"2,088","2,006","4,094",910,28.9
,,,,,,
Nyimbwa Sub Co unty,,"18,664","17,873","36,537","7,825",30.2
                Bajjo,,"3,201","3,039","6,240","1,338",27.3
                Buvuma,,"1,772","1,660","3,432",738,35
                Kalule,,"2,460","2,523","4,983","1,193",30.2
                Kiyanda,,"2,400","2,293","4,693","1,090",28.2
                Nakatoonya,,"3,408","3,288","6,696","1,354",31.3
                Ssambwe,,"5,423","5,070","10,493","2,112",30.8
,,,,,,
 Wobulenzi Town  Council,,"12,337","14,711","27,048","6,974",32.7
                Bukalas a,,374,330,704,151,33.8
                Bukolwa,,"1,078","1,225","2,303",518,34.4
                Katikam u,,"1,726","2,037","3,763",891,31.9
                Wobule nzi Central,,"2,265","2,586","4,851","1,222",34.5
                Wobule nzi East,,"4,696","5,714","10,410","2,718",29.6
                Wobule nzi West,,"2,198","2,819","5,017","1,474",36.7
,,,,,,
,,,,,,
,,,,,,
 Masaka District,,"145,552","151,452","297,004","75,494",29.8
 Bukakata Sub C ounty,,"9,424","8,319","17,743","5,378",26.4
                Bukibon ga,,"5,234","4,581","9,815","3,342",26.3
                Makonzi,,"1,664","1,262","2,926",893,20.9
                Ssunga,,"2,526","2,476","5,002","1,143",30.8
,,,,,,
            Buwunga,,"21,079","21,139","42,218","9,908",28.9
                Bulando,,"1,953","1,910","3,863",861,28.8
                Buwung a,,"1,961","2,052","4,013",883,30.8
                Ggulam a,,"1,903","2,016","3,919",903,31.1
                Kamwo zi,,"3,283","3,141","6,424","1,472",30
                Kanywa,,"4,219","3,976","8,195","2,084",24.3
                Kasaka,,"2,601","2,604","5,205","1,198",31.5
                Kitenge sa,,"2,809","3,016","5,825","1,375",30.5
                Mazinga,,"2,350","2,424","4,774","1,132",28
,,,,,,
Kabonera Sub C ounty,,"15,903","17,100","33,003","7,652",31.4
                Bisanje,,"3,008","3,292","6,300","1,436",33.5
                Butale,,"2,269","2,377","4,646",997,33.3
                Kakunyu,,"2,265","2,347","4,612","1,040",29.5
                Kirimya,,"2,610","2,986","5,596","1,385",29.7
                Kitanga,,"1,844","1,955","3,799",862,29.9
                Kiziba,,"1,691","1,856","3,547",873,30.4
                Kyamuy imbwa,,"2,216","2,287","4,503","1,059",33.1
,,,,,,
Kyanamukaaka S ub County,,"15,922","15,599","31,521","7,433",28
                Buyaga,,"3,540","3,465","7,005","1,809",27
                Buyinja,,"2,406","2,468","4,874","1,105",28.1
                Kamuzi nda,,"2,613","2,663","5,276","1,256",31
                Kyantal e,,"3,884","3,771","7,655","1,783",29.8
                Zzimwe,,"3,479","3,232","6,711","1,480",24.6
,,,,,,
Kyesiiga Sub Co unty,,"12,749","12,083","24,832","6,251",25.7
                Bbuuliro,,"3,578","3,280","6,858","1,940",24.1
                Bugere,,"2,860","2,969","5,829","1,336",30.2
                Kitunga,,"2,854","2,579","5,433","1,395",25.7
                Kyesiiga,,"3,457","3,255","6,712","1,580",23.8
,,,,,,
Mukungwe Sub County,,"21,539","22,921","44,460","10,379",31.9
                Bugabir a,,"1,873","1,959","3,832",893,37.7
                Bulayi,,"2,120","2,148","4,268","1,030",32.6
                Kalagal a,,"7,227","7,738","14,965","3,486",27.3
                Katwad de,,"2,899","3,145","6,044","1,330",33.5
                Matang a,,"3,114","3,399","6,513","1,524",35.4
                Samalia,,"4,306","4,532","8,838","2,116",33.2
,,,,,,
 Katwe-Butego D ivision,,"11,959","13,394","25,353","7,132",32.4
                Butego,,"5,648","6,363","12,011","3,370",32.7
                Katwe,,"6,311","7,031","13,342","3,762",32.2
,,,,,,
Kimaanya-Kyabakuza Division,,"16,371","17,889","34,260","8,881",28.6
                Kimaanya,,"12,669","13,611","26,280","6,803",28.3
                Kyabakuza,,"3,702","4,278","7,980","2,078",29.6
 Nyendo-Ssenyange Division,,"20,606","23,008","43,614","12,480",31.9
                Nyendo,,"16,291","18,468","34,759","10,246",32
                Ssenya nge,,"4,315","4,540","8,855","2,234",31.3
,,,,,,
,,,,,,
,,,,,,
Mpigi District,,"125,404","125,144","250,548","60,388",29.4
            Buwama Sub County,,"25,395","25,116","50,511","12,413",29.4
                Bbongol e,,"2,376","2,241","4,617","1,046",30.7
                Bulunda,,"1,555","1,395","2,950",710,26.9
                Bunjakk o,,"4,539","3,962","8,501","2,439",21.9
                Buyijja,,"1,865","1,779","3,644",791,28.3
                Jalamba,,"2,317","2,292","4,609","1,051",32
                Kawum ba,,"1,370","1,277","2,647",636,28.9
                Lubugu mu,,"1,444","1,483","2,927",624,31.6
                Mbizzin ya,,"5,607","6,257","11,864","3,116",33.1
                Nabiteet e,,"2,064","2,011","4,075",923,30.3
                Ssango,,"2,258","2,419","4,677","1,077",32.6
,,,,,,
Kammengo Sub County,,"19,768","19,155","38,923","9,028",27.2
                Butoolo,,"1,834","1,821","3,655",865,28.8
                Kamme ngo,,"3,019","3,125","6,144","1,498",27.8
                Kanyike,,"2,921","2,921","5,842","1,390",29.5
                Kyanja,,"2,549","2,567","5,116","1,212",30.8
                Luwala,,"1,596","1,485","3,081",692,25
                Lwagwa  Kibanga,,"1,260","1,195","2,455",512,27
                Musa,,"4,699","4,325","9,024","2,068",23
                Muyira,,"1,890","1,716","3,606",791,28.1
,,,,,,
 Kiringente Sub County,,"11,411","11,314","22,725","5,471",28.1
                Kavule,,"2,878","3,035","5,913","1,439",30.9
                Kikondo,,"4,592","4,599","9,191","2,148",29
                Kololo,,862,808,"1,670",415,23.9
                Luvumb ula,,"1,183","1,064","2,247",530,23.8
                Sekiwu nga,,"1,896","1,808","3,704",939,26.1
,,,,,,
Kituntu Sub Cou nty,,"11,280","10,991","22,271","4,945",30.4
                Bukasa,,"3,071","3,076","6,147","1,321",31.5
                Bukemb a,,"1,324","1,312","2,636",639,29.3
                Kantiini,,"1,664","1,577","3,241",706,27.5
                Kasozi,,"1,651","1,629","3,280",726,31.8
                Luwung a,,"1,287","1,202","2,489",563,28.8
                Migamb a,,"1,416","1,378","2,794",584,28.3
                Nkasi,,867,817,"1,684",406,36.7
,,,,,,
Mpigi Town Cou ncil,,"21,140","22,220","43,360","10,607",31.7
                Bumooz i,,"2,228","2,233","4,461","1,006",29.5
                Kafumu,,"1,118","1,049","2,167",530,35.8
                Kakoola,,"1,423","1,367","2,790",670,28.7
                Kkonko ma,,"3,300","3,272","6,572","1,574",30.8
                Kyali,,"1,790","1,720","3,510",891,28.7
                Lwanga,,"1,455","1,456","2,911",641,29.2
                Maziba,,"3,072","3,273","6,345","1,508",33.4
                Ward A,,"2,153","2,532","4,685","1,312",32.2
                Ward B,,"2,500","3,052","5,552","1,345",32.1
                Ward C,,"1,089","1,164","2,253",595,31.6
                Ward D,,"1,012","1,102","2,114",535,38.5
,,,,,,
Muduuma Sub C ounty,,"15,649","14,987","30,636","7,652",28.7
                Bulerejj e,,"1,345","1,161","2,506",564,24.1
                Jjeza,,"2,013","2,220","4,233","1,060",32.4
                Lugyo,,"4,839","5,013","9,852","2,511",29.9
                Magala,,721,623,"1,344",351,26.2
                Malima,,"2,208","1,849","4,057",964,28.1
                Mbazzi,,"1,624","1,371","2,995",773,27.9
                Tiribogo,,"2,899","2,750","5,649","1,429",26.9
,,,,,,
Nkozi Sub Count y,,"20,761","21,361","42,122","10,272",29.9
                Bukung e,,"1,797","1,866","3,663",879,26.3
                Busees e,,"1,801","1,920","3,721",811,39.7
                Ggolo,,"3,168","3,159","6,327","1,509",23.5
                Kayabw e,,"3,572","4,054","7,626","2,036",32.9
                Mugge,,"3,338","3,359","6,697","1,682",28
                Nabusa nke,,"2,139","2,149","4,288","1,039",32.6
                Nakiban ga,,"1,417","1,370","2,787",630,29.7
                Nnindye,,"3,529","3,484","7,013","1,686",29.8
,,,,,,
,,,,,,
,,,,,,
Mubende District,,"346,654","337,694","684,348","151,100",22.5
Butoloogo Sub C ounty,,"22,806","21,568","44,374","9,566",15
                Kalama,,"2,675","2,577","5,252","1,155",18.4
                Kanyog oga,,"3,200","2,997","6,197","1,423",14.3
                Kasolok amponye,,"2,205","2,138","4,343",941,14.8
                Kidongo,,"1,870","1,687","3,557",721,17.3
                Kijaagi,,"1,061",966,"2,027",446,14.8
                Kirwanyi,,"1,878","1,821","3,699",811,13.4
                Kisagazi,,"2,761","2,529","5,290","1,106",15.4
                Kituule,,"2,318","2,163","4,481",972,13.6
                Kyeza,,"2,056","1,899","3,955",891,14.8
                Makuku ulu,,"2,782","2,791","5,573","1,100",13.3
,,,,,,
Kitenga Sub Cou nty,,"24,863","23,549","48,412","10,288",20.2
                Bugonzi,,"4,750","4,393","9,143","1,941",20.6
                Kabyuma,,"6,094","6,041","12,135","2,578",18.2
                Kalonga,,"8,695","8,209","16,904","3,674",22.1
                Kayebe,,"5,324","4,906","10,230","2,095",19
Kiyuni Sub Coun ty,,"8,475","8,406","16,881","3,975",21.6
                Kijjumb a,,"3,692","3,523","7,215","1,597",20.5
                Katente,,"4,783","4,883","9,666","2,378",22.3
,,,,,,
Madudu Sub Cou nty,,"18,706","18,191","36,897","8,603",19.1
                Kabula muliro,,"4,548","4,318","8,866","2,069",18.4
                Kakenzi,,"2,338","2,126","4,464",997,21.7
                Kansam bya,,"4,601","4,651","9,252","2,091",16.9
                Kikoma,,"1,686","1,585","3,271",694,15.4
                Kitemba,,"5,533","5,511","11,044","2,752",21.1
,,"81,288","81,479","162,767","35,869",22
Bagezza Sub Co unty,,"5,762","5,916","11,678","2,517",16.4
                Kalagal a,,"1,315","1,354","2,669",620,17.6
                Kijjojolo,,"2,263","2,285","4,548",955,15.7
                Mugung ulu,,"2,184","2,277","4,461",942,16.2
,,,,,,
Kasambya Sub C ounty,,"19,607","18,609","38,216","8,354",22
                Butuuti,,"1,699","1,827","3,526",748,23.9
                Kabbo,,"1,939","1,878","3,817",738,20.6
                Kamuso ngole,,"1,631","1,751","3,382",666,22.4
                Kasamb ya Town Board,,"5,600","6,060","11,660","2,861",26.8
                Kirolero,,"1,050","1,011","2,061",426,17.8
                Kyakasa,,"2,970","1,901","4,871","1,060",13.2
                Lwegula,,"1,170","1,015","2,185",478,27.2
                Muyinay ina,,"2,160","1,673","3,833",763,15.5
                Nkinga,,"1,388","1,493","2,881",614,21.3
,,,,,,
Kibalinga Sub C ounty,,"17,896","18,280","36,176","8,468",22.2
                Kabowa,,"3,242","3,573","6,815","1,628",21.9
                Kabubbu,,"2,330","2,332","4,662","1,091",18
                Kasaana,,974,976,"1,950",407,19.2
                Kibalinga A,,"2,736","2,711","5,447","1,318",22.3
                Kibalinga B,,"2,083","2,123","4,206",990,24.3
                Kisombwa,,"1,743","1,707","3,450",830,25.2
                Nkandwa,,"2,387","2,418","4,805","1,076",22.5
                Ntungamo,,"2,401","2,440","4,841","1,128",23
,,,,,,
Kigando Sub Co unty,,"20,341","20,204","40,545","8,405",22.3
                Buband a,,"1,987","1,728","3,715",681,14.7
                Kacwa mango,,"1,934","1,981","3,915",813,15.6
                Kigando,,"1,925","2,090","4,015",849,23.9
                Kirume,,"4,693","4,535","9,228","1,973",26
                Kiyonga,,"3,245","3,131","6,376","1,232",15.5
                Lusiba,,"3,913","4,023","7,936","1,772",25.7
                Mugolo dde,,"1,344","1,416","2,760",567,29.3
                Ndyang oma,,"1,300","1,300","2,600",518,23.7
,,,,,,
Nabingoola Sub County,,"17,682","18,470","36,152","8,125",23.3
                Kabalun gi,,"3,916","4,145","8,061","1,754",22.1
                Kafunde zi,,"1,756","1,783","3,539",737,18.7
                Kiyita,,"3,529","3,753","7,282","1,595",27
                Lubimbi ri,,"3,597","3,756","7,353","1,606",19.5
                Nabingo ola,,"4,884","5,033","9,917","2,433",25.7
,,,,,,
,,"138,926","132,618","271,544","58,988",24
Bukuya Sub Cou nty,,"15,535","15,574","31,109","7,013",23.2
                Bukuya Town Board,,"4,484","4,792","9,276","2,237",24
                Ncwam azzi,,"1,112","1,057","2,169",453,23
                Kabosi,,"1,132","1,151","2,283",481,27.4
                Kabuyi mba,,857,843,"1,700",386,22.8
                Kalaata,,"1,731","1,727","3,458",748,22.5
